// output from Obj2DatTex.py Wavefront text file conversion script
// (c) 2005 By Giles Williams
// 
// original file: "iguana.obj"
// 
// model size: 97.600 x 48.800 x 158.600
// 
// textures used: ['griff_arcelite_palette2.png']
// 
NVERTS 35
NFACES 66

VERTEX
-12.82930, 17.98540, -64.60790
-10.02470, 19.38760, -65.30910
-28.10160, 3.07075, -72.27460
12.82930, 17.98540, -64.60790
10.02470, 19.38760, -65.30910
28.10160, 3.07075, -72.27460
-0.00000, 24.40000, -79.30000
-0.00000, 16.76950, -79.30000
-28.10160, -4.56197, -72.27460
-48.80000, -0.00000, -67.10000
28.10160, -4.56197, -72.27460
-0.00000, -18.69080, -79.30000
48.80000, -0.00000, -67.10000
-0.00000, -24.40000, -79.30000
-12.82930, 17.98540, -12.59240
-10.02470, 19.38760, -11.19010
10.02470, 19.38760, -11.19010
12.82930, 17.98540, -12.59240
-48.80000, -0.00000, -18.30000
48.80000, -0.00000, -18.30000
-8.74222, 15.07590, 16.58780
-8.74222, 13.73100, 20.62270
-8.74222, 11.19050, 28.24410
-8.74222, 9.84554, 32.27890
8.74222, 9.84554, 32.27890
8.74222, 11.19050, 28.24410
8.74222, 13.73100, 20.62270
8.74222, 15.07590, 16.58780
-0.00000, 24.40000, 6.10000
-0.00000, 20.90410, 16.58780
-0.00000, 19.55910, 20.62270
-0.00000, 17.01860, 28.24410
-0.00000, 15.67370, 32.27890
-0.00000, -24.40000, 6.10000
-0.00000, -0.00000, 79.30000

FACES
0,0,0,	0.53452,-0.80178,0.26726,	3,	34,19,33
1,0,0,	-0.53452,-0.80178,0.26726,	3,	18,34,33
2,0,0,	0.44721,-0.89443,-0.00000,	3,	19,12,13
3,0,0,	0.44721,-0.89443,-0.00000,	3,	19,13,33
4,0,0,	-0.44721,-0.89443,-0.00000,	3,	9,18,13
5,0,0,	-0.44721,-0.89443,-0.00000,	3,	13,18,33
6,0,0,	-0.24254,-0.00000,-0.97014,	3,	7,8,11
7,0,0,	-0.24254,-0.00000,-0.97014,	3,	7,2,8
8,0,0,	-0.24254,-0.00000,-0.97014,	3,	2,9,8
9,0,0,	-0.24254,-0.00000,-0.97014,	3,	7,6,2
10,0,0,	-0.24254,0.00000,-0.97014,	3,	2,6,9
11,0,0,	-0.24254,-0.00000,-0.97014,	3,	11,8,13
12,0,0,	-0.24254,-0.00000,-0.97014,	3,	8,9,13
13,0,0,	0.24254,-0.00000,-0.97014,	3,	10,7,11
14,0,0,	0.24254,-0.00000,-0.97014,	3,	5,7,10
15,0,0,	0.24254,-0.00000,-0.97014,	3,	12,5,10
16,0,0,	0.24254,0.00000,-0.97014,	3,	6,5,12
17,0,0,	0.24254,-0.00000,-0.97014,	3,	6,7,5
18,0,0,	0.24254,-0.00000,-0.97014,	3,	12,10,13
19,0,0,	0.24254,-0.00000,-0.97014,	3,	10,11,13
20,0,0,	-0.53452,0.80178,0.26727,	3,	30,31,22
21,0,0,	-0.53453,0.80178,0.26726,	3,	28,29,20
22,0,0,	-0.53452,0.80178,0.26727,	3,	21,30,22
23,0,0,	-0.53452,0.80178,0.26726,	3,	28,20,18
24,0,0,	-0.53452,0.80178,0.26726,	3,	23,32,34
25,0,0,	-0.53452,0.80178,0.26726,	3,	18,23,34
26,0,0,	-0.53452,0.80179,0.26725,	3,	20,21,18
27,0,0,	-0.53453,0.80178,0.26727,	3,	22,23,18
28,0,0,	-0.53453,0.80178,0.26726,	3,	21,22,18
29,0,0,	0.53452,0.80178,0.26727,	3,	31,30,26
30,0,0,	0.53453,0.80178,0.26726,	3,	29,28,27
31,0,0,	0.53452,0.80178,0.26727,	3,	31,26,25
32,0,0,	0.53452,0.80178,0.26726,	3,	27,28,19
33,0,0,	0.53452,0.80178,0.26726,	3,	32,24,34
34,0,0,	0.53452,0.80178,0.26726,	3,	24,19,34
35,0,0,	0.53452,0.80179,0.26725,	3,	26,27,19
36,0,0,	0.53453,0.80178,0.26726,	3,	25,26,19
37,0,0,	0.53453,0.80178,0.26727,	3,	24,25,19
38,0,0,	0.44721,0.89443,0.00000,	3,	4,6,12
39,0,0,	0.44722,0.89443,-0.00000,	3,	6,4,16
40,0,0,	0.44722,0.89443,-0.00000,	3,	28,6,16
41,0,0,	0.44721,0.89443,-0.00000,	3,	28,16,19
42,0,0,	0.44723,0.89442,0.00010,	3,	16,17,19
43,0,0,	0.44721,0.89443,-0.00000,	3,	17,3,19
44,0,0,	0.44721,0.89443,-0.00000,	3,	3,12,19
45,0,0,	0.44721,0.89443,-0.00010,	3,	3,4,12
